Continent,Country
Southern Asia,"Maldives"
Africa,"Mali"
Europe,"Malta"
Eastern Asia,"Marshall Islands Rep. of the"
Northern America,"Martinique"
Africa,"Mauritania Islamic Rep. of"
Africa,"Mauritius"
Africa,"Mayotte"
Northern America,"Mexico"
Eastern Asia,"Micronesia Federated States of"
Europe,"Moldova Rep. of"
Western Europe,"Monaco"
Eastern Asia,"Mongolia"
Europe,"Montenegro"
Northern America,"Montserrat"
Northern Africa,"Morocco"
Africa,"Mozambique Rep. of"
Eastern Asia,"Myanmar"
Africa,"Namibia"
Oceania,"Nauru Rep. of" 
Southern Asia,"Nepal"
Western Europe,"Netherlands The"
Eastern Asia,"New Caledonia"
Australia and New Zealand,"New Zealand"
Northern America,"Nicaragua"
Africa,"Niger"
Africa,"Nigeria"
Oceania,"Niue"
Oceania,"Norfolk Island"
Europe,"North Macedonia Republic of"
Northern Europe,"Norway"
Western Asia,"Oman"
Southern Asia,"Pakistan"
Eastern Asia,"Palau Rep. of"
Northern America,"Panama"
Eastern Asia,"Papua New Guinea"
Latin America and the Caribbean,"Paraguay"
Latin America and the Caribbean,"Peru"
Eastern Asia,"Philippines"
Oceania,"Pitcairn Islands"
Eastern Europe,"Poland Rep. of"
Europe,"Portugal"
Northern America,"Puerto Rico"
Western Asia,"Qatar"
Europe,"Romania"
Asia,"Russian Federation"
Africa,"Rwanda"
Africa,"Saint Helena"
Northern America,"Saint Pierre and Miquelon"
Oceania,"Samoa"
Europe,"San Marino Rep. of"
Africa,"Sao Tome and Principe Dem. Rep. of" 
Western Asia,"Saudi Arabia"
Africa,"Senegal"
Europe,"Serbia Rep. of"
Africa,"Seychelles"
Africa,"Sierra Leone"
Eastern Asia,"Singapore"
Eastern Europe,"Eastern Europe"
Southern Europe,"Slovenia Rep. of"
Oceania,"Solomon Islands"
Africa,"Somalia"
Africa,"South Africa"
Africa,"South Sudan Rep. of"
Europe,"Spain"
Southern Asia,"Sri Lanka"
Northern America,"St. Kitts and Nevis"
Northern America,"St. Lucia"
Northern America,"St. Vincent and the Grenadines"
Northern Africa,"Sudan"
Latin America and the Caribbean,"Suriname"
Northern Europe,"Sweden"
Europe,"Switzerland"
Western Asia,"Syrian Arab Rep."
Eastern Asia,"Taiwan Province of China"
Central Asia,"Tajikistan Rep. of"
Africa,"Tanzania United Rep. of"
Eastern Asia,"Thailand:
Eastern Asia,"Timor-Leste Dem. Rep. of"
Africa,"Togo"
Oceania,"Tokelau"
Eastern Asia,"Tonga"
Northern America,"Trinidad and Tobago"
Northern Africa,"Tunisia"
Central Asia,"Turkmenistan"
Northern America,"Turks and Caicos Islands"
Oceania,"Tuvalu"
Africa,"Uganda"
Eastern Europe,"Ukraine"
Western Asia,"United Arab Emirates"
Western Europe,"United Kingdom"
Northern America,"United States"
Northern America,"United States Virgin Islands"
Latin America and the Caribbean,"Uruguay"
Central Asia,"Uzbekistan Rep. of"
Oceania,"Vanuatu"
Latin America and the Caribbean,"Venezuela Rep. Bolivariana de"
Eastern Asia,"Vietnam"
Oceania,"Wallis and Futuna Islands"
Western Asia,"West Bank and Gaza"
Northern Africa,"Western Sahara"
World ,"World"
Western Asia,"Yemen Rep. of"
Africa,"Zambia"
Africa,"Zimbabwe"
